,동,workppl,dem,bikelength,sum_road_dem,sum_ppl_dem,sum_ppl_road,sum_3,index,지하철역개수,버스정거장개수,접근성,교통편,총거치대수,교통지수,tr_index,sum_index,interg
330,자양4동,-0.6695798413042177,0.7597546930652141,0.003551063873363045,0.763305756938577,0.09017485176099638,-0.6660287774308546,0.09372591563435942,330,0.3689036834571611,-0.8174629424507881,-0.8324154053758188,-0.6933190826987641,-0.33871389111174305,-1.0320329738105072,1,1,1.0
331,잠실2동,2.170440400993299,0.8036658152800169,2.625444039190929,3.4291098544709464,2.974106216273316,4.795884440184229,5.599550255464245,331,1.6202249777438518,-1.146997347850231,-1.3831818071718622,-0.7550898940171663,-0.3926847858493285,-1.1477746798664947,1,1,1.0
332,잠실3동,-0.3358149784573277,0.7433570848042319,0.8400047530674132,1.5833618378716452,0.4075421063469042,0.5041897746100854,1.2475468594143173,332,-0.8824176108295296,-0.3561147748915679,-0.93396845231277,-0.5080066487435575,-0.3791920621649321,-0.8871987109084896,1,1,1.0
333,잠실4동,-0.346767296211664,0.6953554309459632,1.2275867477900615,1.9229421787360248,0.3485881347342992,0.8808194515783975,1.5761748825243609,333,1.6202249777438518,-1.146997347850231,-1.1620446981279118,-0.7550898940171663,-0.5006265753244994,-1.2557164693416656,1,1,1.0
334,잠실6동,-0.5705877385246395,0.773263078232298,2.187373398363775,2.9606364765960733,0.2026753397076585,1.6167856598391357,2.390048738071433,334,0.3689036834571611,-0.8174629424507881,-1.479260107961111,-0.6933190826987641,-0.02838124637062676,-0.7217003290693909,1,1,1.0
335,잠실7동,-1.1592046106551246,0.7074116013474302,0.5099446486827339,1.2173562500301642,-0.4517930093076944,-0.6492599619723907,0.058151639375039525,335,-0.8824176108295296,-1.4765317532496742,-1.4639157346482492,-1.5581104411563949,-0.43316295690251755,-1.9912733980589123,1,1,1.0
356,중계1동,0.5197295353525592,0.13204816625988794,0.1276375871351831,0.25968575339507105,0.6517777016124471,0.6473671224877423,0.7794152887476302,356,-0.8824176108295296,-0.5538354181312337,0.0990182899332382,-0.6933190826987641,-0.2577575490053649,-0.951076631704129,1,1,1.0
360,중곡1동,0.3446328656133618,0.5949143779334471,0.14647663418910314,0.7413910121225503,0.9395472435468091,0.491109499802465,1.086023877735912,360,0.3689036834571611,-0.6197422992111223,0.47714748942875984,-0.5080066487435575,-0.5006265753244994,-1.0086332240680569,1,1,1.0
361,중곡2동,0.2374967316831233,0.3346105836105816,-0.013278484828138865,0.32133209878244273,0.5721073152937048,0.2242182468549844,0.5588288304655661,361,-0.8824176108295296,-0.685649180291011,0.1360839189746965,-0.8168607053355685,-0.7839737726968229,-1.6008344780323913,1,1,1.0
368,증산동,0.2373563173529395,0.5858133251876688,0.2580037927483098,0.8438171179359786,0.8231696425406083,0.4953601101012493,1.0811734352889182,368,0.3689036834571611,-0.9492767046105653,-0.5301822030544779,-0.8168607053355685,-0.635553812168463,-1.4524145175040315,1,1,1.0
370,창1동,0.763488812551634,0.3017646789641632,-0.4819939755296697,-0.18022929656550649,1.0652534915157972,0.2814948370219644,0.5832595159861276,370,-0.8824176108295296,-0.3561147748915679,-0.23688897325497693,-0.5080066487435575,-0.23077210163657216,-0.7387787503801296,1,1,1.0
